municipio_obtencion;municipio_obtencion_original
382;Guayabetal
383;Guayatá
384;Güepsa
385;Güicán
386;Gutiérrez
387;Hacarí
393;Hatillo de Loba
394;Hato
395;Hato Corozal
396;Hatonuevo
397;Heliconia
398;Herrán
399;Herveo
400;Hispania
401;Hobo
402;Honda
403;Ibagué
404;Icononzo
405;Iles
406;Imués
407;Inírida
409;Inzá
408;Ipiales
410;Iquira
411;Isnos
412;Istmina
413;Itagüí
414;Ituango
415;Iza
416;Jambaló
417;Jamundi
418;Jardín
419;Jenesano
420;Jericó
421;Jerusalén
422;Jesús María
423;Jordán
424;Juan de Acosta
425;Junín
426;Juradó
427;La Apartada
488;La Argentina
428;La Belleza
429;La Calera
468;La Capilla
430;La Ceja
469;La Celia
431;La Chorrera
432;La Cruz
433;La Cumbre
434;La Dorada
435;La Esperanza
436;La Estrella
437;La Florida
438;La Gloria
439;La Guadalupe
440;La Jagua de Ibirico
441;La Jagua Del Pilar
442;La Llanada
443;La Macarena
445;La Merced
444;La Mesa
446;La Montañita
447;La Palma
448;La Paz
449;La Pedrera
450;La Peña
470;La Pintada
451;La Plata
452;La Playa de Belen
454;La Primavera
453;La Salina
455;La Sierra
456;La Tebaida
457;La Tola
458;La Unión
487;La Uvita
459;La Vega
460;La Victoria
461;La Virginia
462;Labateca
463;Labranzagrande
464;Landázuri
465;Lebríja
466;Leiva
467;Lejanías
471;Lenguazaque
472;Lérida
473;Leticia
474;Liborina
475;Linares
476;Lloró
477;López de Micay
478;Lorica
479;Los Andes
480;Los Córdobas
481;Los Palmitos
482;Los Patios
483;Los Santos
484;Lourdes
485;Luruaco
486;Macanal
489;Macaravita
490;Maceo
491;Macheta
492;Madrid
493;Magangué
495;Magüi
494;Mahates
496;Maicao
497;Majagual
498;Málaga
557;Malambo
499;Mallama
500;Manatí
507;Manaure
501;Manaure Balcon del Cesar
502;Maní
503;Manizales
504;Manta
505;Manzanares
506;Mapiripán
508;Margarita
516;María La Baja
509;Marinilla
510;Maripí
511;Marmato
512;Marquetalia
513;Marsella
514;Marulanda
515;Matanza
517;Medellín
518;Medina
519;Medio Atrato
520;Medio Baudó
521;Medio San Juan/Andagoya
522;Melgar
523;Mercaderes
524;Mesetas
525;Milán
526;Miraflores
527;Miranda
528;Miriti-Paraná
529;Mistrató
530;Mitú
531;Mogotes
551;Molagavita
532;Momil
533;Mompós
534;Mongua
535;Monguí
536;Moniquirá
537;Montebello
538;Montebonito
539;Montecristo
540;Montelíbano
541;Montenegro
542;Montería
543;Monterrey
545;Moñitos
544;Morales
546;Morelia
547;Morroa
548;Mosquera
549;Motavita
550;Murillo
552;Murindó
553;Mutatá
554;Mutiscua
555;Muzo
556;Nariño
577;Nátaga
558;Natagaima
576;Nechí
559;Necoclí
560;Neira
561;Neiva
562;Nemocón
563;Nilo
564;Nimaima
565;No definido
566;Nobsa
568;Nocaima
569;Norcasia
567;Norosí
570;Nóvita
571;Nueva Granada
572;Nuevo Colón
573;Nunchía
574;Nuquí
575;Obando
578;Ocamonte
580;Ocaña
579;Oiba
581;Oicatá
582;Olaya
583;Olaya Herrera
584;Onzaga
585;Oporapa
586;Orito
587;Orocué
588;Ortega
589;Ospina
590;Otanche
591;Otras Ciudades
592;Ovejas
593;Pachavita
594;Pacho
595;Pacoa
596;Pácora
692;Padilla
597;Páez
693;Paez/Belalcazar
598;Paicol
599;Pailitas
600;Paime
601;Paipa
602;Pajarito
603;Palermo
604;Palestina
605;Palmar
606;Palmar de Varela
607;Palmas del Socorro
608;Palmira
609;Palmito
610;Palocabildo
611;Pamplona
612;Pamplonita
613;Pandi
614;Panqueba
615;Páramo
694;Paratebueno
616;Pasca
617;Pasto
618;Patía
619;Pauna
620;Paya
621;Paz de Ariporo
622;Paz de Río
623;Pedraza
624;Pelaya
625;Pensilvania
626;Peque
627;Pereira
628;Pesca
629;Piamonte
630;Piedecuesta
631;Piedras
632;Piendamó
633;Pijao
634;Pijiño del Carmen
635;Pinchote
636;Pinillos
637;Piojó
638;Pisba
639;Pitalito
640;Pivijay
641;Planadas
642;Planeta Rica
643;Plato
644;Policarpa
645;Polonuevo
646;Ponedera
647;Popayán
648;Pore
649;Potosí
650;Pradera
651;Prado
652;Providencia
653;Pueblo Bello
654;Pueblo Nuevo
655;Pueblo Rico
656;Pueblorrico
657;Puebloviejo
658;Puente Nacional
659;Puerres
660;Puerto Arica
661;Puerto Asís
662;Puerto Berrío
663;Puerto Bolívar
664;Puerto Boyacá
665;Puerto Caicedo
666;Puerto Carreño
667;Puerto Colombia
668;Puerto Concordia
669;Puerto Escondido
670;Puerto Gaitán
671;Puerto Guzmán
672;Puerto Leguízamo
676;Puerto Libertador
673;Puerto Lleras
674;Puerto López
675;Puerto Nare
677;Puerto Nariño
678;Puerto Parra
679;Puerto Rico
680;Puerto Rondón
681;Puerto Salgar
682;Puerto Santander
683;Puerto Tejada
684;Puerto Triunfo
685;Puerto Wilches
686;Pulí
687;Pupiales
688;Puracé
689;Purificación
691;Purísima
690;Quebradanegra
701;Quetame
695;Quibdó
696;Quimbaya
697;Quinchía
698;Quípama
699;Quipile
700;Ragonvalia
702;Ramiriquí
703;Ráquira
728;Recetor
725;Regidor
726;Remedios
727;Remolino
724;Repelón
704;Restrepo
705;Ricaurte
706;Río de Oro
707;Río Iro
708;Río Quito
709;Río Viejo
710;Rioblanco
711;Riofrío
712;Riohacha
713;Rionegro
714;Riosucio
715;Risaralda
716;Rivera
717;Roberto Payán/San José
718;Roldanillo
719;Roncesvalles
720;Rondón
721;Rosas
722;Rovira
723;Sabana de Torres
729;Sabanagrande
730;Sabanalarga
731;Sabanas de San Angel
732;Sabaneta
733;Saboyá
734;Sácama
904;Sáchica
905;Sahagún
735;Saladoblanco
736;Salamina
737;Salazar de las Palmas
738;Saldaña
739;Salento
740;Salgar
741;Samacá
742;Samaná
744;Samaniego
743;Sampués
745;San Agustín
746;San Alberto
747;San Andrés
749;San Andrés de Cuerquia
751;San Andres de Tumaco
750;San Andrés Sotavento
748;San Antero
752;San Antonio
753;San Antonio del Tequendama
754;San Benito
755;San Benito Abad
756;San Bernardo
757;San Bernardo del Viento
758;San Calixto
759;San Carlos
760;San Carlos de Guaroa
761;San Cayetano
762;San Cristóbal
763;San Diego
764;San Eduardo
821;San Estanislao de Kostka
765;San Felipe
766;San Felix
767;San Fernando
768;San Francisco
769;San Gil
770;San Jacinto
771;San Jacinto del Cauca
772;San Jerónimo
773;San Joaquín
774;San José
775;San José de Cúcuta
776;San José de la Montaña
777;San José de Miranda
781;San José de Pare
782;San José de Uré
783;San José del Fragua
784;San José del Guaviare
778;San José del Palmar
779;San Juan de Arama
780;San Juan de Betulia
786;San Juan de Río Seco
787;San Juan de Urabá
790;San Juan del Cesar
788;San Juan Nepomuceno
789;San Juanito
791;San Lorenzo
785;San Luis
792;San Luis de Gaceno
793;San Luis de Palenque
794;San Marcos
795;San Martín
796;San Martín de Loba
797;San Mateo
798;San Miguel
799;San Miguel (La Dorada)
800;San Miguel de Mocoa
802;San Miguel de Sema
803;San Onofre
801;San Pablo
804;San Pablo de Borbur
805;San Pedro
806;San Pedro de Cartago
807;San Pedro de los Milagros
808;San Pedro de Uraba
810;San Pelayo
809;San Rafael
811;San Roque
812;San Sebastián
813;San Sebastián de Buenavista
815;San Sebastian de Mariquita
816;San Vicente
814;San Vicente de Chucurí
822;San Vicente del Caguán
823;San Zenón
824;Sandona
825;Santa Ana
839;Santa Bárbara
840;Santa Bárbara de Pinto
826;Santa Catalina
827;Santa Helena del Opón
828;Santa Isabel
830;Santa Lucía
829;Santa María
841;Santa Marta
842;Santa Rosa
831;Santa Rosa de Cabal
832;Santa Rosa de Lima
833;Santa Rosa de Osos
836;Santa Rosa de Viterbo
834;Santa Rosa del Sur
835;Santa Rosalía
