municipio_entrega;municipio_entrega_original
383;Guayabetal
384;Guayatá
385;Güepsa
386;Güicán
387;Gutiérrez
388;Hacarí
394;Hatillo de Loba
395;Hato
396;Hato Corozal
397;Hatonuevo
398;Heliconia
399;Herrán
400;Herveo
401;Hispania
402;Hobo
403;Honda
404;Ibagué
405;Icononzo
406;Iles
407;Imués
408;Inírida
410;Inzá
409;Ipiales
411;Iquira
412;Isnos
413;Istmina
414;Itagüí
415;Ituango
416;Iza
417;Jambaló
418;Jamundi
419;Jardín
420;Jenesano
421;Jericó
422;Jerusalén
423;Jesús María
424;Jordán
425;Juan de Acosta
426;Junín
427;Juradó
428;La Apartada
489;La Argentina
429;La Belleza
430;La Calera
469;La Capilla
431;La Ceja
470;La Celia
432;La Chorrera
433;La Cruz
434;La Cumbre
435;La Dorada
436;La Esperanza
437;La Estrella
438;La Florida
439;La Gloria
440;La Guadalupe
441;La Jagua de Ibirico
442;La Jagua Del Pilar
443;La Llanada
444;La Macarena
446;La Merced
445;La Mesa
447;La Montañita
448;La Palma
449;La Paz
450;La Pedrera
451;La Peña
471;La Pintada
452;La Plata
453;La Playa de Belen
455;La Primavera
454;La Salina
456;La Sierra
457;La Tebaida
458;La Tola
459;La Unión
488;La Uvita
460;La Vega
461;La Victoria
462;La Virginia
463;Labateca
464;Labranzagrande
465;Landázuri
466;Lebríja
467;Leiva
468;Lejanías
472;Lenguazaque
473;Lérida
474;Leticia
475;Liborina
476;Linares
477;Lloró
478;López de Micay
479;Lorica
480;Los Andes
481;Los Córdobas
482;Los Palmitos
483;Los Patios
484;Los Santos
485;Lourdes
486;Luruaco
487;Macanal
490;Macaravita
491;Maceo
492;Macheta
493;Madrid
494;Magangué
496;Magüi
495;Mahates
497;Maicao
498;Majagual
499;Málaga
561;Malambo
500;Mallama
501;Manatí
508;Manaure
502;Manaure Balcon del Cesar
503;Maní
504;Manizales
505;Manta
506;Manzanares
507;Mapiripán
510;Mapiripana
509;Margarita
518;María La Baja
511;Marinilla
512;Maripí
513;Marmato
514;Marquetalia
515;Marsella
516;Marulanda
517;Matanza
519;Medellín
520;Medellín de Ariari
521;Medina
522;Medio Atrato
523;Medio Baudó
524;Medio San Juan/Andagoya
525;Melgar
526;Mercaderes
527;Mesetas
528;Milán
529;Miraflores
530;Miranda
531;Miriti-Paraná
532;Mistrató
533;Mitú
534;Mogotes
555;Molagavita
535;Momil
536;Mompós
537;Mongua
538;Monguí
539;Moniquirá
540;Montebello
541;Montebonito
542;Montecristo
543;Montelíbano
544;Montenegro
545;Montería
546;Monterrey
548;Moñitos
547;Morales
549;Morelia
550;Morichal
551;Morroa
552;Mosquera
553;Motavita
554;Murillo
556;Murindó
557;Mutatá
558;Mutiscua
559;Muzo
560;Nariño
581;Nátaga
562;Natagaima
580;Nechí
563;Necoclí
564;Neira
565;Neiva
566;Nemocón
567;Nilo
568;Nimaima
569;No definido
570;Nobsa
572;Nocaima
573;Norcasia
571;Norosí
574;Nóvita
575;Nueva Granada
576;Nuevo Colón
577;Nunchía
578;Nuquí
579;Obando
582;Ocamonte
584;Ocaña
583;Oiba
585;Oicatá
586;Olaya
587;Olaya Herrera
588;Onzaga
589;Oporapa
590;Orito
591;Orocué
592;Ortega
593;Ospina
594;Otanche
595;Otras Ciudades
596;Ovejas
