municipios_ejecucion;municipios_ejecucion_original
383;Guayabal
390;Guayabal de Siquima
384;Guayabetal
385;Guayatá
386;Güepsa
387;Güicán
388;Gutiérrez
389;Hacarí
395;Hatillo de Loba
396;Hato
397;Hato Corozal
398;Hatonuevo
399;Heliconia
400;Herrán
401;Herveo
402;Hispania
403;Hobo
404;Honda
405;Ibagué
406;Icononzo
407;Iles
408;Imués
409;Inírida
411;Inzá
410;Ipiales
412;Iquira
413;Isnos
414;Istmina
415;Itagüí
416;Ituango
417;Iza
418;Jambaló
419;Jamundi
420;Jardín
421;Jenesano
422;Jericó
423;Jerusalén
424;Jesús María
425;Jordán
426;Juan de Acosta
427;Junín
428;Juradó
429;La Apartada
490;La Argentina
430;La Belleza
431;La Calera
470;La Capilla
432;La Ceja
471;La Celia
433;La Chorrera
434;La Cruz
435;La Cumbre
436;La Dorada
437;La Esperanza
438;La Estrella
439;La Florida
440;La Gloria
441;La Guadalupe
442;La Jagua de Ibirico
443;La Jagua Del Pilar
444;La Llanada
445;La Macarena
447;La Merced
446;La Mesa
448;La Montañita
449;La Palma
450;La Paz
451;La Pedrera
452;La Peña
472;La Pintada
453;La Plata
454;La Playa de Belen
456;La Primavera
455;La Salina
457;La Sierra
458;La Tebaida
459;La Tola
460;La Unión
489;La Uvita
461;La Vega
462;La Victoria
463;La Virginia
464;Labateca
465;Labranzagrande
466;Landázuri
467;Lebríja
468;Leiva
469;Lejanías
473;Lenguazaque
474;Lérida
475;Leticia
476;Liborina
477;Linares
478;Lloró
479;López de Micay
480;Lorica
481;Los Andes
482;Los Córdobas
483;Los Palmitos
484;Los Patios
485;Los Santos
486;Lourdes
487;Luruaco
488;Macanal
491;Macaravita
492;Maceo
493;Macheta
494;Madrid
495;Magangué
497;Magüi
496;Mahates
498;Maicao
499;Majagual
500;Málaga
562;Malambo
501;Mallama
502;Manatí
509;Manaure
503;Manaure Balcon del Cesar
504;Maní
505;Manizales
506;Manta
507;Manzanares
508;Mapiripán
511;Mapiripana
510;Margarita
519;María La Baja
512;Marinilla
513;Maripí
514;Marmato
515;Marquetalia
516;Marsella
517;Marulanda
518;Matanza
520;Medellín
521;Medellín de Ariari
522;Medina
523;Medio Atrato
524;Medio Baudó
525;Medio San Juan/Andagoya
526;Melgar
527;Mercaderes
528;Mesetas
529;Milán
530;Miraflores
531;Miranda
532;Miriti
533;Mistrató
534;Mitú
535;Mogotes
556;Molagavita
536;Momil
537;Mompós
538;Mongua
539;Monguí
540;Moniquirá
541;Montebello
542;Montebonito
543;Montecristo
544;Montelíbano
545;Montenegro
546;Montería
547;Monterrey
549;Moñitos
548;Morales
550;Morelia
551;Morichal
552;Morroa
553;Mosquera
554;Motavita
555;Murillo
557;Murindó
558;Mutatá
559;Mutiscua
560;Muzo
561;Nariño
581;Nátaga
563;Natagaima
580;Nechí
564;Necoclí
565;Neira
566;Neiva
567;Nemocón
568;Nilo
569;Nimaima
570;Nobsa
571;Nocaima
572;Norcasia
573;Norosí
574;Nóvita
575;Nueva Granada
576;Nuevo Colón
577;Nunchía
578;Nuquí
579;Obando
582;Ocamonte
584;Ocaña
583;Oiba
585;Oicatá
586;Olaya
587;Olaya Herrera
588;Onzaga
589;Oporapa
590;Orito
591;Orocué
592;Ortega
593;Ospina
594;Otanche
595;Ovejas
596;Pachavita
597;Pacho
598;Pacoa
599;Pácora
696;Padilla
600;Páez
697;Paez/Belalcazar
601;Paicol
602;Pailitas
603;Paime
604;Paipa
605;Pajarito
606;Palermo
607;Palestina
608;Palmar
609;Palmar de Varela
610;Palmas del Socorro
611;Palmira
612;Palmito
613;Palocabildo
614;Pamplona
615;Pamplonita
616;Pandi
617;Panqueba
618;Páramo
698;Paratebueno
619;Pasca
620;Pasto
621;Patía
622;Pauna
623;Paya
624;Paz de Ariporo
625;Paz de Río
626;Pedraza
627;Pelaya
628;Pensilvania
629;Peque
630;Pereira
631;Pesca
632;Piamonte
633;Piedecuesta
634;Piedras
635;Piendamó
636;Pijao
637;Pijiño del Carmen
638;Pinchote
639;Pinillos
640;Piojó
641;Pisba
642;Pitalito
643;Pivijay
644;Planadas
645;Planeta Rica
646;Plato
647;Policarpa
648;Polonuevo
649;Ponedera
650;Popayán
651;Pore
652;Potosí
653;Pradera
654;Prado
655;Providencia
656;Pueblo Bello
657;Pueblo Nuevo
658;Pueblo Rico
659;Pueblorrico
660;Puebloviejo
661;Puente Nacional
662;Puerres
663;Puerto Alegría
664;Puerto Arica
665;Puerto Asís
666;Puerto Berrío
667;Puerto Bolívar
668;Puerto Boyacá
669;Puerto Caicedo
670;Puerto Carreño
671;Puerto Colombia
672;Puerto Concordia
673;Puerto Escondido
674;Puerto Gaitán
675;Puerto Guzmán
676;Puerto Leguízamo
680;Puerto Libertador
677;Puerto Lleras
678;Puerto López
679;Puerto Nare
681;Puerto Nariño
682;Puerto Parra
683;Puerto Rico
684;Puerto Rondón
685;Puerto Salgar
686;Puerto Santander
687;Puerto Tejada
688;Puerto Triunfo
689;Puerto Wilches
690;Pulí
691;Pupiales
692;Puracé
693;Purificación
695;Purísima
694;Quebradanegra
705;Quetame
699;Quibdó
700;Quimbaya
701;Quinchía
702;Quípama
703;Quipile
704;Ragonvalia
706;Ramiriquí
707;Ráquira
732;Recetor
729;Regidor
730;Remedios
731;Remolino
728;Repelón
708;Restrepo
709;Ricaurte
710;Río de Oro
711;Río Iro
712;Río Quito
713;Río Viejo
714;Rioblanco
715;Riofrío
716;Riohacha
717;Rionegro
718;Riosucio
719;Risaralda
720;Rivera
721;Roberto Payán/San José
722;Roldanillo
723;Roncesvalles
724;Rondón
725;Rosas
726;Rovira
727;Sabana de Torres
733;Sabanagrande
734;Sabanalarga
735;Sabanas de San Angel
736;Sabaneta
737;Saboyá
738;Sácama
908;Sáchica
909;Sahagún
739;Saladoblanco
740;Salamina
741;Salazar de las Palmas
742;Saldaña
743;Salento
744;Salgar
745;Samacá
746;Samaná
748;Samaniego
747;Sampués
749;San Agustín
750;San Alberto
751;San Andrés
753;San Andrés de Cuerquia
755;San Andres de Tumaco
754;San Andrés Sotavento
752;San Antero
756;San Antonio
757;San Antonio del Tequendama
758;San Benito
759;San Benito Abad
760;San Bernardo
761;San Bernardo del Viento
762;San Calixto
763;San Carlos
764;San Carlos de Guaroa
765;San Cayetano
766;San Cristóbal
767;San Diego
768;San Eduardo
825;San Estanislao de Kostka
